of_DayofWeek	DayNumber
of_SetUpdateBottomUp	of_SetUpdateStyle
of_GetUpdateBottomUp	of_GetUpdateStyle
of_SetUseColLinks	of_SetStyle
of_GetUseColLinks	of_GetStyle
of_SetArguments	of_Register
of_GetValue
of_ResetArguments	of_Unregister
of_GetArguments	of_GetRegistered
of_LinkTo	of_SetMaster
of_Unlink	of_ResetMaster
of_GetColumnNameSource	of_GetColumnDisplayNameStyle
of_SetColumnNameSource	of_SetColumnDisplayNameStyle
of_RefreshDDDWs	of_PopulateDDDWs
of_GetUpdateable	of_IsUpdateable
pfc_retrievedddw	pfc_populatedddw
of_RemoveColumn	of_UnRegister
of_AddColumn	of_Register
of_GetColumn	of_GetRegistered
of_AddToUpdate	of_Register
pfc_w_undelete	pfc_w_restorerow
w_undelete	w_restorerow
ib_updatebottomup	ii_updatestyle
ics_database	DATABASE
ics_file	FILE
ics_dragobject	DRAGOBJECT
ics_line	LINE
ics_oval	OVAL
ics_rectangle	RECTANGLE
ics_roundrectangle	ROUNDRECTANGLE
ics_mdiclient	MDICLIENT
ici_pfcmajorrevision	PFC_MAJOR
ici_pfcminorrevision	PFC_MINOR
ici_pfcfixesrevision	PFC_FIXES
ics_pfc	PFC_NAME
icd_build	PFC_BUILD_DATE
ictm_build	PFC_BUILD_TIME
ics_retrieve	RETRIEVE
ics_dataobjectdata	DATAOBJECTDATA
ics_powerobject	POWEROBJECT
ics_typetext	TEXT
ics_typebitmap	BITMAP
ics_typepredefined	PREDEFINED
ics_none	NONE
